"Jelölt neve","Nemzetiség","Státusz","OEVK","Állapotváltozás dátuma","Jelölő szervezet neve","Lista típusa"
"KOMÁROMSZKY ATTILA","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"KOMLÓDI LÓRÁND","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"DR. KONCZ ÁRON","","Nyilvántartásba véve","Budapest főváros, 04. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"DR. KONCZ ÁRON","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"KONCZ ÁRPÁD","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"KONCZ PÁL","","Nem kíván indulni","Csongrád-Csanád vármegye, 01. számú egyéni választókerület","2026. március 6.","Jobbik Magyarországért Mozgalom",""
"DR. KONCZ ZSÓFIA","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 06. számú egyéni választókerület","2026. február 28.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"DR. KONCZ ZSÓFIA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"DR. KONDOR ISTVÁN PÉTER","Szlovén","Nyilvántartásba véve","","2026. március 7.","Országos Szlovén Önkormányzat","Nemzetiségi lista"
"KONTÁNÉ ZLATZKY ANNA","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"KONTRA ISTVÁN","","Nyilvántartásba véve","Jász-Nagykun-Szolnok vármegye, 04. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"KONTRÁT KÁROLY","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"KÓNYA ISTVÁN","","Nyilvántartásba véve","Békés vármegye, 03. számú egyéni választókerület","2026. február 27.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"KÓNYA ISTVÁN","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"KONYHÁS PÉTER","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"KOÓS JÁNOSNÉ","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"KOPCSÁNDY ANNA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"KOPPING RITA","","Kiesett","Bács-Kiskun vármegye, 01. számú egyéni választókerület","2026. március 20.","Demokratikus Koalíció",""
"KÓRA DOMONKOS","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"KORBÁCS MARTIN","","Nyilvántartásba vétel visszautasítva","Hajdú-Bihar vármegye, 03. számú egyéni választókerület","2026. március 12.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"KORÓDI ISTVÁN","","Nyilvántartásba véve","Győr-Moson-Sopron vármegye, 01. számú egyéni választókerület","2026. március 6.","Mi Hazánk Mozgalom",""
"KORÓDI ISTVÁN","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"KORPÁS ISTVÁN JÁNOS","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"KORSÓS ATTILA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"KÓS ZOLTÁN ISTVÁN","","Nem kíván indulni","Baranya vármegye, 03. számú egyéni választókerület","2026. március 6.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"DR. KÓSA ÁDÁM","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"KÓSA LAJOS","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"KOVÁCS AMBRUS","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"KOVÁCS ANDRÁS ZOLTÁN","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"KOVÁCS ANDREA","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"KOVÁCS APOLLÓNIA","","Nyilvántartásba vétel visszautasítva","Somogy vármegye, 04. számú egyéni választókerület","2026. március 12.","Normális Élet Pártja",""
"DR. KOVÁCS ÁRON","","Nyilvántartásba véve","Baranya vármegye, 02. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"DR. KOVÁCS ÁRON","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"KOVÁCS ATTILA","","Nyilvántartásba véve","Budapest főváros, 16. számú egyéni választókerület","2026. március 2.","Mi Hazánk Mozgalom",""
"KOVÁCS ATTILA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"KOVÁCS BALÁZS NORBERT","","Nyilvántartásba véve","Budapest főváros, 05. számú egyéni választókerület","2026. február 26.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"KOVÁCS BALÁZS NORBERT","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"KOVÁCS DÁVID","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"KOVÁCS GÉZA","","Nem kíván indulni","Csongrád-Csanád vármegye, 02. számú egyéni választókerület","2026. március 6.","Jobbik Magyarországért Mozgalom",""
"KOVÁCS GYÖRGY","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"DR. KOVÁCS GYULA","","Nyilvántartásba véve","Bács-Kiskun vármegye, 04. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"DR. KOVÁCS GYULA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"KOVÁCS HENRIK","","Nyilvántartásba vétel visszautasítva","Zala vármegye, 01. számú egyéni választókerület","2026. március 9.","Középen Állók Pártja",""
"KOVÁCS HUNOR KRISZTIÁN","","Nyilvántartásba véve","Jász-Nagykun-Szolnok vármegye, 03. számú egyéni választókerület","2026. február 28.","Tisztelet és Szabadság Párt",""
"KOVÁCS HUNOR KRISZTIÁN","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"KOVÁCS IMRE","","Nem kíván indulni","Pest vármegye, 12. számú egyéni választókerület","2026. március 6.","Középen Állók Pártja",""
"KOVÁCS IMRE ISTVÁN","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 02. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"KOVÁCS ISTVÁN","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"KOVÁCS JÁNOS","","Nem kíván indulni","Budapest főváros, 07. számú egyéni választókerület","2026. március 6.","Nemzetegyesítő Mozgalom a Szentkorona Országaiért",""
"KOVÁCS KOPPÁNY ZOLTÁN","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 01. számú egyéni választókerület","2026. március 5.","Mi Hazánk Mozgalom",""
"KOVÁCS KOPPÁNY ZOLTÁN","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"KOVÁCS KRISTÓF","","Nem kíván indulni","Csongrád-Csanád vármegye, 04. számú egyéni választókerület","2026. március 12.","Középen Állók Pártja",""
"KOVÁCS NIKOLETTA ERIKA","","Nyilvántartásba vétel visszautasítva","Győr-Moson-Sopron vármegye, 05. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"KOVÁCS PETRA JUDIT","","Nyilvántartásba véve","Hajdú-Bihar vármegye, 04. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"KOVÁCS PETRA JUDIT","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"KOVÁCS SÁNDOR","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 05. számú egyéni választókerület","2026. február 24.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"KOVÁCS SÁNDOR","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"KOVÁCS ZSOLT","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"KOVÁCS-ÉGERHÁZI JUDIT","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"KOVACSICS ZSOLT","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"KOVÁCSNÉ MOLNÁR MAGDOLNA","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"KOVÁTS GÁBOR","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 07. számú egyéni választókerület","2026. március 15.","Magyar Kétfarkú Kutya Párt",""
"KOVÁTS GÁBOR","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"KOZMA ATTILA MÁTYÁS","","Nyilvántartásba véve","Hajdú-Bihar vármegye, 01. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"KOZMA IVÁN","","Nem kíván indulni","Budapest főváros, 12. számú egyéni választókerület","2026. március 6.","Középen Állók Pártja",""
"KOZMA PÉTER","","Nyilvántartásba véve","Heves vármegye, 02. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"KOZMA TIBOR","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"KOZMÁNÉ TÓTH VIKTÓRIA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"KOZSNYÁNSZKY JÁNOS","Ruszin","Nyilvántartásba véve","","2026. március 5.","Országos Ruszin Önkormányzat","Nemzetiségi lista"
"KŐHÁZI JÁNOS","","Nyilvántartásba vétel visszautasítva","Nógrád vármegye, 02. számú egyéni választókerület","2026. március 9.","Normális Élet Pártja",""
"KÖHLERNÉ KOCH ILONA","Német","Nyilvántartásba véve","","2026. március 8.","Magyarországi Németek Országos Önkormányzata","Nemzetiségi lista"
"KÖKÉNY GÁBOR KÁLMÁN","","Nyilvántartásba véve","Pest vármegye, 14. számú egyéni választókerület","2026. március 9.","Demokratikus Koalíció",""
"KÖKÉNY GÁBOR KÁLMÁN","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"KÖRMENDI GÁBOR ATTILA","","Nyilvántartásba véve","Budapest főváros, 13. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"KÖRMENDI GÁBOR ATTILA","","Kiesett","","2026. március 13.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt","Közös lista"
"KÖRMÖCI GÁBOR MIKLÓS","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"KÖRÖNDI MÁTÉ","","Nem kíván indulni","Csongrád-Csanád vármegye, 03. számú egyéni választókerület","2026. március 6.","Körkeresztesek Pártja",""
"KŐSZEGI KRISZTIÁN","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"KŐSZEGI MIHÁLY","","Nyilvántartásba véve","Bács-Kiskun vármegye, 03. számú egyéni választókerület","2026. március 5.","Független jelölt",""
"KÖVÉR LÁSZLÓ","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"KRÁLIK KÁROLY","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 05. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"KRAMARENKO VIKTOR","Ruszin","Nyilvántartásba véve","","2026. március 5.","Országos Ruszin Önkormányzat","Nemzetiségi lista"
"KREISZ LÁSZLÓ","Német","Nyilvántartásba véve","","2026. március 8.","Magyarországi Németek Országos Önkormányzata","Nemzetiségi lista"
"KRISZTIÁN JÓZSEF","","Nem kíván indulni","Pest vármegye, 10. számú egyéni választókerület","2026. február 27.","Normális Élet Pártja",""
"KRIZS NORBERT","","Nyilvántartásba véve","Nógrád vármegye, 01. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"KRIZS NORBERT","","Kiesett","","2026. március 13.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt","Közös lista"
"KUBATOV GÁBOR","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"KUBOVICSNÉ DR. BORBÉLY ANETT","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 04. számú egyéni választókerület","2026. március 2.","Demokratikus Koalíció",""
"KUBOVICSNÉ DR. BORBÉLY ANETT","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"KUCZIK JÚLIA","Szlovák","Nyilvántartásba véve","","2026. március 10.","Országos Szlovák Önkormányzat","Nemzetiségi lista"
"KUIK SÁNDORNÉ","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"KUJBUS MIHÁLYNÉ","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"KULCSÁR KRISZTIÁN","","Nyilvántartásba véve","Budapest főváros, 10. számú egyéni választókerület","2026. február 28.","Tisztelet és Szabadság Párt",""
"KULCSÁR KRISZTIÁN","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"KULJA ANDRÁS","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"KUN ISTVÁN","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"KUN-GAZDA PÉTER","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"KUNHALMI ÁGNES","","Nyilvántartásba véve","Budapest főváros, 08. számú egyéni választókerület","2026. február 26.","Független jelölt",""
"KUZMITS BETTINA ANDREA","","Nyilvántartásba vétel visszautasítva","Vas vármegye, 01. számú egyéni választókerület","2026. március 9.","Normális Élet Pártja",""
"KUZMITS FERENC","","Nyilvántartásba vétel visszautasítva","Veszprém vármegye, 01. számú egyéni választókerület","2026. március 14.","Normális Élet Pártja",""
"KVACSKAY KÁROLY","","Nyilvántartásba véve","Budapest főváros, 02. számú egyéni választókerület","2026. március 6.","Mi Hazánk Mozgalom",""
"KVACSKAY KÁROLY","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"KVÁRIK ANITA","","Nyilvántartásba véve","Fejér vármegye, 04. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"LACZKÓ KORNÉL","","Nyilvántartásba véve","Pest vármegye, 04. számú egyéni választókerület","2026. március 9.","Magyar Kétfarkú Kutya Párt",""
"LACZKÓ KORNÉL","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"LACZKÓ ZSOLT","","Nyilvántartásba véve","Csongrád-Csanád vármegye, 03. számú egyéni választókerület","2026. február 28.","Mi Hazánk Mozgalom",""
"LACZKÓ ZSOLT","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"LADÁNYI LUCA","","Nyilvántartásba véve","Komárom-Esztergom vármegye, 01. számú egyéni választókerület","2026. március 14.","Magyar Kétfarkú Kutya Párt",""
"LAJOS MILÁN","","Nyilvántartásba véve","Baranya vármegye, 01. számú egyéni választókerület","2026. március 13.","Független jelölt",""
"LAKATOS ATTILA","","Nyilvántartásba véve","Szabolcs-Szatmár-Bereg vármegye, 06. számú egyéni választókerület","2026. március 9.","Független jelölt",""
"LAKATOS DOMINIKA","","Nem kíván indulni","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"LAKATOS ÉVA","","Nyilvántartásba vétel visszautasítva","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","2026. március 10.","Független jelölt",""
"LAKATOS GÁBOR","","Nyilvántartásba vétel visszautasítva","Borsod-Abaúj-Zemplén vármegye, 04. számú egyéni választókerület","2026. március 13.","Független jelölt",""
"LAKATOS JÓZSEF","","Nem kíván indulni","Hajdú-Bihar vármegye, 02. számú egyéni választókerület","2026. március 5.","Középen Állók Pártja",""
"LAKATOS JÓZSEF","","Nem kíván indulni","Szabolcs-Szatmár-Bereg vármegye, 02. számú egyéni választókerület","2026. március 6.","Normális Élet Pártja",""
"LAKATOS ZOLTÁN","","Nyilvántartásba vétel visszautasítva","Borsod-Abaúj-Zemplén vármegye, 04. számú egyéni választókerület","2026. március 13.","Független jelölt",""
"LÁNG ANIKÓ","","Nyilvántartásba vétel visszautasítva","Budapest főváros, 03. számú egyéni választókerület","2026. március 9.","Otthon Védelme Ingatlan Párt",""
"LÁNG DÁVID","","Nyilvántartásba véve","","2026. március 10.","Magyar Kétfarkú Kutya Párt","Önálló lista"
"DR. LÁNG ZSOLT","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"LÁNGFALVI ATTILA","","Nyilvántartásba véve","Fejér vármegye, 01. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"LANTOS JÁNOS","","Nyilvántartásba véve","Komárom-Esztergom vármegye, 02. számú egyéni választókerület","2026. március 2.","Mi Hazánk Mozgalom",""
"LANTOS JÁNOS","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"LÁSZIK MIHÁLY","Szlovák","Nyilvántartásba véve","","2026. március 10.","Országos Szlovák Önkormányzat","Nemzetiségi lista"
"LÁSZLÓ ANDRÁS","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"LÁSZLÓ ATTILA","","Nyilvántartásba véve","Pest vármegye, 13. számú egyéni választókerület","2026. február 28.","Mi Hazánk Mozgalom",""
"LÁSZLÓ ATTILA","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"LÁSZLÓ DÁVID","","Nem kíván indulni","Budapest főváros, 05. számú egyéni választókerület","2026. március 6.","Független jelölt",""
"LÁSZLÓ ENDRE MÁRTON","","Nyilvántartásba véve","Pest vármegye, 06. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"LÁSZLÓ ENDRE MÁRTON","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"DR. LÁSZLÓ IMRE","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"DR. LÁSZLÓ PÉTER","","Nyilvántartásba véve","Veszprém vármegye, 01. számú egyéni választókerület","2026. március 5.","Mi Hazánk Mozgalom",""
"DR. LÁSZLÓ PÉTER","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"LASZTOVICZA MÁTÉ","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"DR. LATORCAI CSABA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"LATORCAI JÁNOS","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"LÁZÁR JÁNOS","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"LÁZI BÉLA","","Nyilvántartásba vétel visszautasítva","Zala vármegye, 02. számú egyéni választókerület","2026. március 13.","Normális Élet Pártja",""
"LÁZI BÉLÁNÉ","","Nyilvántartásba vétel visszautasítva","Zala vármegye, 01. számú egyéni választókerület","2026. március 9.","Normális Élet Pártja",""
"LÁZI LEVENTE","","Nyilvántartásba vétel visszautasítva","Vas vármegye, 03. számú egyéni választókerület","2026. március 12.","Normális Élet Pártja",""
"LEFLINGER ÁGNES","","Nem kíván indulni","Pest vármegye, 01. számú egyéni választókerület","2026. március 6.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"DR. LEHOCZKI ÁDÁM","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"LEHOCZKI FERENC","","Nyilvántartásba véve","Somogy vármegye, 01. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"LEHOTA MÓNIKA","","Nem kíván indulni","Baranya vármegye, 01. számú egyéni választókerület","2026. március 10.","Normális Élet Pártja",""
"LEITNER SZILÁRD","","Nyilvántartásba véve","Csongrád-Csanád vármegye, 04. számú egyéni választókerület","2026. március 9.","Független jelölt",""
"LEJER ZOLTÁN","","Nem kíván indulni","Bács-Kiskun vármegye, 01. számú egyéni választókerület","2026. március 6.","Jobbik Magyarországért Mozgalom",""
"LELKES GÁBORNÉ","Német","Nyilvántartásba véve","","2026. március 8.","Magyarországi Németek Országos Önkormányzata","Nemzetiségi lista"
"LÉNÁRT JENŐ","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"LÉNÁRTNÉ ORLICZKI JUDIT","Szlovák","Nyilvántartásba véve","","2026. március 10.","Országos Szlovák Önkormányzat","Nemzetiségi lista"
"LENDVAY ENDRE","","Nyilvántartásba véve","Pest vármegye, 12. számú egyéni választókerület","2026. március 2.","Mi Hazánk Mozgalom",""
"LENDVAY ENDRE","","Nyilvántartásba véve","","2026. március 2.","Mi Hazánk Mozgalom","Önálló lista"
"LENKEI RÓBERT","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"LEZSÁK SÁNDOR","","Nyilvántartásba véve","Bács-Kiskun vármegye, 04. számú egyéni választókerület","2026. február 27.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt",""
"LEZSÁK SÁNDOR","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"LINTALLER JÓZSEF","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"LINTALLERNÉ NAGYVÁRADI KATALIN","","Nyilvántartásba vétel visszautasítva","","2026. március 11.","Tea Párt Közösség","Önálló lista"
"LISZKAI ERZSÉBET","","Nyilvántartásba véve","Zala vármegye, 02. számú egyéni választókerület","2026. március 8.","Demokratikus Koalíció",""
"LISZKAI ERZSÉBET","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"DR. LOMNICI ZOLTÁN","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"LONTAY LÁSZLÓ","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","2026. február 27.","Tisztelet és Szabadság Párt",""
"LONTAY LÁSZLÓ","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"LOSÓ ÉVA","","Nyilvántartásba véve","Fejér vármegye, 02. számú egyéni választókerület","2026. március 9.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"LOSONCZI JÁNOS","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"LOVAS MIKLÓS","","Nem kíván indulni","Pest vármegye, 12. számú egyéni választókerület","2026. február 23.","Nemzetegyesítő Mozgalom a Szentkorona Országaiért",""
"LOVAS MIKLÓS","","Nem kíván indulni","Pest vármegye, 14. számú egyéni választókerület","2026. március 5.","Független jelölt",""
"LOVKÓ CSABA","","Nyilvántartásba véve","Zala vármegye, 03. számú egyéni választókerület","2026. március 2.","Tisztelet és Szabadság Párt",""
"LOVKÓ CSABA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"LŐCZ FERENC","","Nyilvántartásba vétel visszautasítva","Zala vármegye, 03. számú egyéni választókerület","2026. március 9.","Jobbik Magyarországért Mozgalom",""
"DR. LŐRINCZ VIKTÓRIA","","Nyilvántartásba véve","Somogy vármegye, 01. számú egyéni választókerület","2026. február 28.","Tisztelet és Szabadság Párt",""
"DR. LŐRINCZ VIKTÓRIA","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"LUDVÁN ZSOLT LÁSZLÓ","","Nyilvántartásba véve","Vas vármegye, 03. számú egyéni választókerület","2026. március 9.","Demokratikus Koalíció",""
"LUDVÁN ZSOLT LÁSZLÓ","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"LUKÁCS GÁBOR","","Nyilvántartásba véve","","2026. március 10.","Tisztelet és Szabadság Párt","Önálló lista"
"LUKÁCS KÁROLY","","Nem kíván indulni","Pest vármegye, 01. számú egyéni választókerület","2026. február 24.","Magyar Kétfarkú Kutya Párt",""
"DR. LUKÁCS LÁSZLÓ GYÖRGY","","Kiesett","Jász-Nagykun-Szolnok vármegye, 03. számú egyéni választókerület","2026. március 23.","Jobbik Magyarországért Mozgalom",""
"MADARÁSZ PÉTER","","Nem kíván indulni","Budapest főváros, 05. számú egyéni választókerület","2026. február 23.","Független jelölt",""
"MAGDICS MÁTÉ","","Nyilvántartásba véve","Pest vármegye, 13. számú egyéni választókerület","2026. március 12.","Demokratikus Koalíció",""
"MAGDICS MÁTÉ","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"MAGDICS MÓNIKA","","Nyilvántartásba véve","Pest vármegye, 12. számú egyéni választókerület","2026. március 9.","Demokratikus Koalíció",""
"MAGDICS MÓNIKA","","Nyilvántartásba véve","","2026. március 8.","Demokratikus Koalíció","Önálló lista"
"MAGOSI RÓBERT","","Nyilvántartásba véve","Borsod-Abaúj-Zemplén vármegye, 05. számú egyéni választókerület","2026. március 10.","A SZOLIDARITÁS PÁRTJA, Magyar Munkáspárt",""
"MAGYAR ÁGNES ZSÓFIA","","Nyilvántartásba véve","","2026. március 8.","FIDESZ - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt","Közös lista"
"MAGYAR ELEONÓRA","","Nem kíván indulni","Borsod-Abaúj-Zemplén vármegye, 02. számú egyéni választókerület","2026. március 4.","Középen Állók Pártja",""
